date,value_date,narration,chq_ref_no,withdrawal_amount,deposit_amount,closing_balance,utr_number,transaction_id
02/08/2026,02/08/2026,NEFT-RZPX0001-DUNZO-UTR202608001732,UTR202608001732,0.0,54382.33,15054382.33,UTR202608001732,bank_tx_00001
03/08/2026,03/08/2026,NEFT-RZPX0002-BIGBASKET-UTR202608002972,UTR202608002972,0.0,62080.87,15124161.74,UTR202608002972,bank_tx_00002
03/08/2026,03/08/2026,NEFT-RZPX0003-PHARMEASY-UTR202608002972,UTR202608002972,0.0,51063.61,15153190.83,UTR202608002972,bank_tx_00003
02/08/2026,02/08/2026,NEFT-RZPX0004-ZOMATO-UTR202608001732,UTR202608001732,0.0,35196.8,15140787.2,UTR202608001732,bank_tx_00004
04/08/2026,04/08/2026,NEFT-RZPX0005-NYKAA-UTR202608003822,UTR202608003822,0.0,68618.83,15343094.15,UTR202608003822,bank_tx_00005
04/08/2026,04/08/2026,NEFT-RZPX0006-NYKAA-UTR202608003822,UTR202608003822,0.0,15881.49,15095288.94,UTR202608003822,bank_tx_00006
03/08/2026,03/08/2026,NEFT-RZPX0007-URBAN COMPANY-UTR202608002972,UTR202608002972,0.0,60655.37,15424587.59,UTR202608002972,bank_tx_00007
03/08/2026,03/08/2026,NEFT-RZPX0008-CULT.FIT-UTR202608002972,UTR202608002972,0.0,29960.37,15239682.96,UTR202608002972,bank_tx_00008
03/08/2026,03/08/2026,NEFT-RZPX0009-URBAN COMPANY-UTR202608002972,UTR202608002972,0.0,53185.13,15478666.17,UTR202608002972,bank_tx_00009
03/08/2026,03/08/2026,NEFT-RZPX0010-PHARMEASY-UTR202608002972,UTR202608002972,0.0,49964.36,15499643.6,UTR202608002972,bank_tx_00010
03/08/2026,03/08/2026,NEFT-RZPX0011-ZEPTO-UTR202608002972,UTR202608002972,0.0,23977.88,15263756.68,UTR202608002972,bank_tx_00011
04/08/2026,04/08/2026,NEFT-RZPX0012-LICIOUS-UTR202608003822,UTR202608003822,0.0,25775.21,15309302.52,UTR202608003822,bank_tx_00012
05/08/2026,05/08/2026,NEFT-RZPX0013-PHARMEASY-UTR202608004828,UTR202608004828,0.0,61996.07,15805948.91,UTR202608004828,bank_tx_00013
04/08/2026,04/08/2026,NEFT-RZPX0014-DUNZO-UTR202608003822,UTR202608003822,0.0,5430.43,15076026.02,UTR202608003822,bank_tx_00014
05/08/2026,05/08/2026,NEFT-RZPX0015-PHARMEASY-UTR202608004828,UTR202608004828,0.0,57402.96,15861044.4,UTR202608004828,bank_tx_00015
05/08/2026,05/08/2026,NEFT-RZPX0016-ZEPTO-UTR202608004828,UTR202608004828,0.0,46529.32,15744469.12,UTR202608004828,bank_tx_00016
05/08/2026,05/08/2026,NEFT-RZPX0017-NYKAA-UTR202608004828,UTR202608004828,0.0,7793.69,15132492.73,UTR202608004828,bank_tx_00017
05/08/2026,05/08/2026,NEFT-RZPX0018-URBAN COMPANY-UTR202608004828,UTR202608004828,0.0,60455.77,16088203.86,UTR202608004828,bank_tx_00018
04/08/2026,04/08/2026,NEFT-RZPX0019-DUNZO-UTR202608003822,UTR202608003822,0.0,9490.12,15180312.28,UTR202608003822,bank_tx_00019
04/08/2026,04/08/2026,NEFT-RZPX0020-PHARMEASY-UTR202608003822,UTR202608003822,0.0,1800.98,15036019.6,UTR202608003822,bank_tx_00020
05/08/2026,05/08/2026,NEFT-RZPX0021-ZOMATO-UTR202608004828,UTR202608004828,0.0,37309.38,15783496.98,UTR202608004828,bank_tx_00021
06/08/2026,06/08/2026,NEFT-RZPX0022-ZEPTO-UTR202608005619,UTR202608005619,0.0,58883.06,16295427.32,UTR202608005619,bank_tx_00022
05/08/2026,05/08/2026,NEFT-RZPX0023-ZOMATO-UTR202608004828,UTR202608004828,0.0,46587.71,16071517.33,UTR202608004828,bank_tx_00023
06/08/2026,06/08/2026,NEFT-RZPX0024-CULT.FIT-UTR202608005619,UTR202608005619,0.0,50826.08,16219825.92,UTR202608005619,bank_tx_00024
05/08/2026,05/08/2026,NEFT-RZPX0025-ZEPTO-UTR202608004828,UTR202608004828,0.0,39392.71,15984817.75,UTR202608004828,bank_tx_00025
06/08/2026,06/08/2026,NEFT-RZPX0026-PHARMEASY-UTR202608005619,UTR202608005619,0.0,66330.1,16724582.6,UTR202608005619,bank_tx_00026
05/08/2026,05/08/2026,NEFT-RZPX0027-URBAN COMPANY-UTR202608004828,UTR202608004828,0.0,11826.33,15319310.91,UTR202608004828,bank_tx_00027
06/08/2026,06/08/2026,NEFT-RZPX0028-CULT.FIT-UTR202608005619,UTR202608005619,0.0,12910.26,15361487.28,UTR202608005619,bank_tx_00028
06/08/2026,06/08/2026,NEFT-RZPX0029-BIGBASKET-UTR202608005619,UTR202608005619,0.0,55477.92,16608859.68,UTR202608005619,bank_tx_00029
06/08/2026,06/08/2026,NEFT-RZPX0030-SWIGGY-UTR202608005619,UTR202608005619,0.0,46947.48,16408424.4,UTR202608005619,bank_tx_00030
06/08/2026,06/08/2026,NEFT-RZPX0031-ZOMATO-UTR202608005619,UTR202608005619,0.0,72773.39,17255975.09,UTR202608005619,bank_tx_00031
07/08/2026,07/08/2026,NEFT-RZPX0032-PHARMEASY-UTR202608006172,UTR202608006172,0.0,68802.65,17201684.8,UTR202608006172,bank_tx_00032
07/08/2026,07/08/2026,NEFT-RZPX0033-SWIGGY-UTR202608006172,UTR202608006172,0.0,4258.1,15140517.3,UTR202608006172,bank_tx_00033
06/08/2026,06/08/2026,NEFT-RZPX0034-URBAN COMPANY-UTR202608005619,UTR202608005619,0.0,56928.62,16935573.08,UTR202608005619,bank_tx_00034
07/08/2026,07/08/2026,NEFT-RZPX0035-CULT.FIT-UTR202608006172,UTR202608006172,0.0,65426.07,17289912.45,UTR202608006172,bank_tx_00035
06/08/2026,06/08/2026,NEFT-RZPX0036-ZEPTO-UTR202608005619,UTR202608005619,0.0,51798.07,16864730.52,UTR202608005619,bank_tx_00036
07/08/2026,07/08/2026,NEFT-RZPX0037-ZOMATO-UTR202608006172,UTR202608006172,0.0,38735.04,16433196.48,UTR202608006172,bank_tx_00037
07/08/2026,07/08/2026,NEFT-RZPX0038-NYKAA-UTR202608006172,UTR202608006172,0.0,11280.84,15428671.92,UTR202608006172,bank_tx_00038
08/08/2026,08/08/2026,NEFT-RZPX0039-ZEPTO-UTR202608007461,UTR202608007461,0.0,18598.91,15725357.49,UTR202608007461,bank_tx_00039
07/08/2026,07/08/2026,NEFT-RZPX0040-URBAN COMPANY-UTR202608006172,UTR202608006172,0.0,4794.66,15191786.4,UTR202608006172,bank_tx_00040
08/08/2026,08/08/2026,NEFT-RZPX0041-LICIOUS-UTR202608007461,UTR202608007461,0.0,5924.6,15242908.6,UTR202608007461,bank_tx_00041
07/08/2026,07/08/2026,NEFT-RZPX0042-DUNZO-UTR202608006172,UTR202608006172,0.0,66013.52,17772567.84,UTR202608006172,bank_tx_00042
