voucher_number,voucher_date,ledger_name,invoice_number,order_id,gross_invoice_value,cgst_9pct,sgst_9pct,igst_18pct,tds_section_194o,razorpay_payment_id,merchant_gstin,merchant_name,net_receivable,status,transaction_id,gross_amount
VR-2026-00001,2026-08-01,Dunzo Digital Private Limited,INV-2026-00001,order_2026_000001,54931.65,4943.85,4943.85,0.0,549.32,pay_2026_000001,29AADCD5678E1Z9,Dunzo Digital Private Limited,54382.33,POSTED,erp_tx_00001,54931.65
VR-2026-00002,2026-08-01,Bigbasket Supermarket Grocery Supplies,INV-2026-00002,order_2026_000002,62722.25,5645.0,5645.0,0.0,627.22,pay_2026_000002,29AABCS8899Q1ZX,Bigbasket Supermarket Grocery Supplies,62095.03,POSTED,erp_tx_00002,62722.25
VR-2026-00003,2026-08-01,PharmEasy API Holdings Private Limited,INV-2026-00003,order_2026_000003,52839.0,4755.51,4755.51,0.0,528.39,pay_2026_000003,27AAACP4455M1Z7,PharmEasy API Holdings Private Limited,52310.61,POSTED,erp_tx_00003,52839.0
VR-2026-00004,2026-08-01,Zomato Limited,INV-2026-00004,order_2026_000004,35552.32,3199.71,3199.71,0.0,355.52,pay_2026_000004,07AAACZ1234D1Z2,Zomato Limited,35196.8,POSTED,erp_tx_00004,35552.32
VR-2026-00005,2026-08-02,Nykaa E-Retail Limited,INV-2026-00005,order_2026_000005,69311.95,6238.08,6238.08,0.0,693.12,pay_2026_000005,27AAACN5566R1Z0,Nykaa E-Retail Limited,68618.83,POSTED,erp_tx_00005,69311.95
VR-2026-00006,2026-08-02,Nykaa E-Retail Limited,INV-2026-00006,order_2026_000006,16059.79,1445.38,1445.38,0.0,160.6,pay_2026_000006,27AAACN5566R1Z0,Nykaa E-Retail Limited,15899.19,POSTED,erp_tx_00006,16059.79
VR-2026-00007,2026-08-02,Urban Company Limited,INV-2026-00007,order_2026_000007,62764.24,5648.78,5648.78,0.0,627.64,pay_2026_000007,06AAACU3322L1Z8,Urban Company Limited,62136.6,POSTED,erp_tx_00007,62764.24
VR-2026-00008,2026-08-02,Cultfit Healthcare Private Limited,INV-2026-00008,order_2026_000008,31002.04,2790.18,2790.18,0.0,310.02,pay_2026_000008,29AAACC1122P1Z3,Cultfit Healthcare Private Limited,30692.02,POSTED,erp_tx_00008,31002.04
VR-2026-00009,2026-08-02,Urban Company Limited,INV-2026-00009,order_2026_000009,53736.66,4836.3,4836.3,0.0,537.37,pay_2026_000009,06AAACU3322L1Z8,Urban Company Limited,53199.29,POSTED,erp_tx_00009,53736.66
VR-2026-00010,2026-08-02,PharmEasy API Holdings Private Limited,INV-2026-00010,order_2026_000010,51701.54,4653.14,4653.14,0.0,517.02,pay_2026_000010,27AAACP4455M1Z7,PharmEasy API Holdings Private Limited,51184.52,POSTED,erp_tx_00010,51701.54
VR-2026-00011,2026-08-02,Zepto Technologies Private Limited,INV-2026-00011,order_2026_000011,24220.08,2179.81,2179.81,0.0,242.2,pay_2026_000011,27AAACZ9876K1Z1,Zepto Technologies Private Limited,23977.88,POSTED,erp_tx_00011,24220.08
VR-2026-00012,2026-08-02,Licious Delightful Gourmet Private Limited,INV-2026-00012,order_2026_000012,26035.57,2343.2,2343.2,0.0,260.36,pay_2026_000012,29AAACL7766N1Z4,Licious Delightful Gourmet Private Limited,25775.21,POSTED,erp_tx_00012,26035.57
VR-2026-00013,2026-08-03,PharmEasy API Holdings Private Limited,INV-2026-00013,order_2026_000013,62622.29,5636.01,5636.01,0.0,626.22,pay_2026_000013,27AAACP4455M1Z7,PharmEasy API Holdings Private Limited,61996.07,POSTED,erp_tx_00013,62622.29
