entity_id,type,debit,credit,amount,currency,fee,tax,tds_194o,net_amount,settlement_id,settlement_utr,created_at,settled_at,order_id,invoice_number,method,card_network,bank_code,merchant_name,merchant_legal_name,description,notes
pay_2026_000001,payment,0,5493165,5493165,INR,0,0,54932,54382.33,setl_202608_0001,UTR202608001732,2026-08-01T13:24:00+00:00,2026-08-02T13:24:00+00:00,order_2026_000001,INV-2026-00001,card,RuPay,SBIN,Dunzo,Dunzo Digital Private Limited,Payment for order order_2026_000001 via CARD,"{""merchant_gstin"": ""29AADCD5678E1Z9"", ""pos"": ""ONLINE""}"
pay_2026_000002,payment,0,6272225,6272225,INR,1200,216,62722,62080.87,setl_202608_0002,UTR202608002972,2026-08-01T16:38:00+00:00,2026-08-03T16:38:00+00:00,order_2026_000002,INV-2026-00002,netbanking,,SBIN,BigBasket,Bigbasket Supermarket Grocery Supplies,Payment for order order_2026_000002 via NETBANKING,"{""merchant_gstin"": ""29AABCS8899Q1ZX"", ""pos"": ""ONLINE""}"
pay_2026_000003,payment,0,5283900,5283900,INR,105678,19022,52839,51063.61,setl_202608_0002,UTR202608002972,2026-08-01T19:44:00+00:00,2026-08-03T19:44:00+00:00,order_2026_000003,INV-2026-00003,card,MasterCard,ICIC,PharmEasy,PharmEasy API Holdings Private Limited,Payment for order order_2026_000003 via CARD,"{""merchant_gstin"": ""27AAACP4455M1Z7"", ""pos"": ""ONLINE""}"
pay_2026_000004,payment,0,3555232,3555232,INR,0,0,35552,35196.8,setl_202608_0001,UTR202608001732,2026-08-01T22:48:00+00:00,2026-08-02T22:48:00+00:00,order_2026_000004,INV-2026-00004,upi,,YESB,Zomato,Zomato Limited,Payment for order order_2026_000004 via UPI,"{""merchant_gstin"": ""07AAACZ1234D1Z2"", ""pos"": ""ONLINE""}"
pay_2026_000005,payment,0,6931195,6931195,INR,0,0,69312,68618.83,setl_202608_0003,UTR202608003822,2026-08-02T01:19:00+00:00,2026-08-04T01:19:00+00:00,order_2026_000005,INV-2026-00005,upi,,HDFC,Nykaa,Nykaa E-Retail Limited,Payment for order order_2026_000005 via UPI,"{""merchant_gstin"": ""27AAACN5566R1Z0"", ""pos"": ""ONLINE""}"
pay_2026_000006,payment,0,1605979,1605979,INR,1500,270,16060,15881.49,setl_202608_0003,UTR202608003822,2026-08-02T04:25:00+00:00,2026-08-04T04:25:00+00:00,order_2026_000006,INV-2026-00006,netbanking,,HDFC,Nykaa,Nykaa E-Retail Limited,Payment for order order_2026_000006 via NETBANKING,"{""merchant_gstin"": ""27AAACN5566R1Z0"", ""pos"": ""ONLINE""}"
pay_2026_000007,payment,0,6276424,6276424,INR,125528,22595,62764,60655.37,setl_202608_0002,UTR202608002972,2026-08-02T07:51:00+00:00,2026-08-03T07:51:00+00:00,order_2026_000007,INV-2026-00007,card,VISA,UTIB,Urban Company,Urban Company Limited,Payment for order order_2026_000007 via CARD,"{""merchant_gstin"": ""06AAACU3322L1Z8"", ""pos"": ""ONLINE""}"
pay_2026_000008,payment,0,3100204,3100204,INR,62004,11161,31002,29960.37,setl_202608_0002,UTR202608002972,2026-08-02T10:45:00+00:00,2026-08-03T10:45:00+00:00,order_2026_000008,INV-2026-00008,card,VISA,UTIB,Cult.fit,Cultfit Healthcare Private Limited,Payment for order order_2026_000008 via CARD,"{""merchant_gstin"": ""29AAACC1122P1Z3"", ""pos"": ""ONLINE""}"
pay_2026_000009,payment,0,5373666,5373666,INR,1200,216,53737,53185.13,setl_202608_0002,UTR202608002972,2026-08-02T13:27:00+00:00,2026-08-03T13:27:00+00:00,order_2026_000009,INV-2026-00009,netbanking,,SBIN,Urban Company,Urban Company Limited,Payment for order order_2026_000009 via NETBANKING,"{""merchant_gstin"": ""06AAACU3322L1Z8"", ""pos"": ""ONLINE""}"
pay_2026_000010,payment,0,5170154,5170154,INR,103403,18613,51702,49964.36,setl_202608_0002,UTR202608002972,2026-08-02T16:07:00+00:00,2026-08-03T16:07:00+00:00,order_2026_000010,INV-2026-00010,card,VISA,UTIB,PharmEasy,PharmEasy API Holdings Private Limited,Payment for order order_2026_000010 via CARD,"{""merchant_gstin"": ""27AAACP4455M1Z7"", ""pos"": ""ONLINE""}"
pay_2026_000011,payment,0,2422008,2422008,INR,0,0,24220,23977.88,setl_202608_0002,UTR202608002972,2026-08-02T19:42:00+00:00,2026-08-03T19:42:00+00:00,order_2026_000011,INV-2026-00011,upi,,YESB,Zepto,Zepto Technologies Private Limited,Payment for order order_2026_000011 via UPI,"{""merchant_gstin"": ""27AAACZ9876K1Z1"", ""pos"": ""ONLINE""}"
pay_2026_000012,payment,0,2603557,2603557,INR,0,0,26036,25775.21,setl_202608_0003,UTR202608003822,2026-08-02T22:20:00+00:00,2026-08-04T22:20:00+00:00,order_2026_000012,INV-2026-00012,upi,,HDFC,Licious,Licious Delightful Gourmet Private Limited,Payment for order order_2026_000012 via UPI,"{""merchant_gstin"": ""29AAACL7766N1Z4"", ""pos"": ""ONLINE""}"
pay_2026_000013,payment,0,6262229,6262229,INR,0,0,62622,61996.07,setl_202608_0004,UTR202608004828,2026-08-03T01:31:00+00:00,2026-08-05T01:31:00+00:00,order_2026_000013,INV-2026-00013,upi,,YESB,PharmEasy,PharmEasy API Holdings Private Limited,Payment for order order_2026_000013 via UPI,"{""merchant_gstin"": ""27AAACP4455M1Z7"", ""pos"": ""ONLINE""}"
pay_2026_000014,payment,0,550316,550316,INR,1500,270,5503,5430.43,setl_202608_0003,UTR202608003822,2026-08-03T04:30:00+00:00,2026-08-04T04:30:00+00:00,order_2026_000014,INV-2026-00014,netbanking,,HDFC,Dunzo,Dunzo Digital Private Limited,Payment for order order_2026_000014 via NETBANKING,"{""merchant_gstin"": ""29AADCD5678E1Z9"", ""pos"": ""ONLINE""}"
pay_2026_000015,payment,0,5939877,5939877,INR,118798,21384,59399,57402.96,setl_202608_0004,UTR202608004828,2026-08-03T07:19:00+00:00,2026-08-05T07:19:00+00:00,order_2026_000015,INV-2026-00015,card,MasterCard,ICIC,PharmEasy,PharmEasy API Holdings Private Limited,Payment for order order_2026_000015 via CARD,"{""merchant_gstin"": ""27AAACP4455M1Z7"", ""pos"": ""ONLINE""}"
pay_2026_000016,payment,0,4701719,4701719,INR,1500,270,47017,46529.32,setl_202608_0004,UTR202608004828,2026-08-03T10:25:00+00:00,2026-08-05T10:25:00+00:00,order_2026_000016,INV-2026-00016,netbanking,,HDFC,Zepto,Zepto Technologies Private Limited,Payment for order order_2026_000016 via NETBANKING,"{""merchant_gstin"": ""27AAACZ9876K1Z1"", ""pos"": ""ONLINE""}"
pay_2026_000017,payment,0,788672,788672,INR,1200,216,7887,7793.69,setl_202608_0004,UTR202608004828,2026-08-03T13:06:00+00:00,2026-08-05T13:06:00+00:00,order_2026_000017,INV-2026-00017,netbanking,,SBIN,Nykaa,Nykaa E-Retail Limited,Payment for order order_2026_000017 via NETBANKING,"{""merchant_gstin"": ""27AAACN5566R1Z0"", ""pos"": ""ONLINE""}"
pay_2026_000018,payment,0,6106643,6106643,INR,0,0,61066,60455.77,setl_202608_0004,UTR202608004828,2026-08-03T16:55:00+00:00,2026-08-05T16:55:00+00:00,order_2026_000018,INV-2026-00018,upi,,HDFC,Urban Company,Urban Company Limited,Payment for order order_2026_000018 via UPI,"{""merchant_gstin"": ""06AAACU3322L1Z8"", ""pos"": ""ONLINE""}"
pay_2026_000019,payment,0,960028,960028,INR,1200,216,9600,9490.12,setl_202608_0003,UTR202608003822,2026-08-03T19:10:00+00:00,2026-08-04T19:10:00+00:00,order_2026_000019,INV-2026-00019,netbanking,,SBIN,Dunzo,Dunzo Digital Private Limited,Payment for order order_2026_000019 via NETBANKING,"{""merchant_gstin"": ""29AADCD5678E1Z9"", ""pos"": ""ONLINE""}"
pay_2026_000020,payment,0,181514,181514,INR,1200,216,0,1800.98,setl_202608_0003,UTR202608003822,2026-08-03T22:39:00+00:00,2026-08-04T22:39:00+00:00,order_2026_000020,INV-2026-00020,netbanking,,SBIN,PharmEasy,PharmEasy API Holdings Private Limited,Payment for order order_2026_000020 via NETBANKING,"{""merchant_gstin"": ""27AAACP4455M1Z7"", ""pos"": ""ONLINE""}"
pay_2026_000021,payment,0,3768624,3768624,INR,0,0,37686,37309.38,setl_202608_0004,UTR202608004828,2026-08-04T01:52:00+00:00,2026-08-05T01:52:00+00:00,order_2026_000021,INV-2026-00021,upi,,YESB,Zomato,Zomato Limited,Payment for order order_2026_000021 via UPI,"{""merchant_gstin"": ""07AAACZ1234D1Z2"", ""pos"": ""ONLINE""}"
pay_2026_000022,payment,0,5949572,5949572,INR,1500,270,59496,58883.06,setl_202608_0005,UTR202608005619,2026-08-04T04:10:00+00:00,2026-08-06T04:10:00+00:00,order_2026_000022,INV-2026-00022,netbanking,,HDFC,Zepto,Zepto Technologies Private Limited,Payment for order order_2026_000022 via NETBANKING,"{""merchant_gstin"": ""27AAACZ9876K1Z1"", ""pos"": ""ONLINE""}"
pay_2026_000023,payment,0,4705829,4705829,INR,0,0,47058,46587.71,setl_202608_0004,UTR202608004828,2026-08-04T07:19:00+00:00,2026-08-05T07:19:00+00:00,order_2026_000023,INV-2026-00023,card,RuPay,SBIN,Zomato,Zomato Limited,Payment for order order_2026_000023 via CARD,"{""merchant_gstin"": ""07AAACZ1234D1Z2"", ""pos"": ""ONLINE""}"
pay_2026_000024,payment,0,5135735,5135735,INR,1500,270,51357,50826.08,setl_202608_0005,UTR202608005619,2026-08-04T10:32:00+00:00,2026-08-06T10:32:00+00:00,order_2026_000024,INV-2026-00024,netbanking,,HDFC,Cult.fit,Cultfit Healthcare Private Limited,Payment for order order_2026_000024 via NETBANKING,"{""merchant_gstin"": ""29AAACC1122P1Z3"", ""pos"": ""ONLINE""}"
pay_2026_000025,payment,0,3980849,3980849,INR,1500,270,39808,39392.71,setl_202608_0004,UTR202608004828,2026-08-04T13:54:00+00:00,2026-08-05T13:54:00+00:00,order_2026_000025,INV-2026-00025,netbanking,,HDFC,Zepto,Zepto Technologies Private Limited,Payment for order order_2026_000025 via NETBANKING,"{""merchant_gstin"": ""27AAACZ9876K1Z1"", ""pos"": ""ONLINE""}"
pay_2026_000026,payment,0,6700010,6700010,INR,0,0,67000,66330.1,setl_202608_0005,UTR202608005619,2026-08-04T16:35:00+00:00,2026-08-06T16:35:00+00:00,order_2026_000026,INV-2026-00026,upi,,HDFC,PharmEasy,PharmEasy API Holdings Private Limited,Payment for order order_2026_000026 via UPI,"{""merchant_gstin"": ""27AAACP4455M1Z7"", ""pos"": ""ONLINE""}"
pay_2026_000027,payment,0,1194579,1194579,INR,0,0,11946,11826.33,setl_202608_0004,UTR202608004828,2026-08-04T19:38:00+00:00,2026-08-05T19:38:00+00:00,order_2026_000027,INV-2026-00027,upi,,YESB,Urban Company,Urban Company Limited,Payment for order order_2026_000027 via UPI,"{""merchant_gstin"": ""06AAACU3322L1Z8"", ""pos"": ""ONLINE""}"
pay_2026_000028,payment,0,1304067,1304067,INR,0,0,13041,12910.26,setl_202608_0005,UTR202608005619,2026-08-04T22:49:00+00:00,2026-08-06T22:49:00+00:00,order_2026_000028,INV-2026-00028,upi,,YESB,Cult.fit,Cultfit Healthcare Private Limited,Payment for order order_2026_000028 via UPI,"{""merchant_gstin"": ""29AAACC1122P1Z3"", ""pos"": ""ONLINE""}"
pay_2026_000029,payment,0,5740680,5740680,INR,114814,20667,57407,55477.92,setl_202608_0005,UTR202608005619,2026-08-05T01:17:00+00:00,2026-08-06T01:17:00+00:00,order_2026_000029,INV-2026-00029,card,MasterCard,ICIC,BigBasket,Bigbasket Supermarket Grocery Supplies,Payment for order order_2026_000029 via CARD,"{""merchant_gstin"": ""29AABCS8899Q1ZX"", ""pos"": ""ONLINE""}"
pay_2026_000030,payment,0,4743958,4743958,INR,1500,270,47440,46947.48,setl_202608_0005,UTR202608005619,2026-08-05T04:44:00+00:00,2026-08-06T04:44:00+00:00,order_2026_000030,INV-2026-00030,netbanking,,HDFC,Swiggy,Bundl Technologies Private Limited,Payment for order order_2026_000030 via NETBANKING,"{""merchant_gstin"": ""29AABCB1234F1Z5"", ""pos"": ""ONLINE""}"
pay_2026_000031,payment,0,7350847,7350847,INR,0,0,73508,72773.39,setl_202608_0005,UTR202608005619,2026-08-05T07:39:00+00:00,2026-08-06T07:39:00+00:00,order_2026_000031,INV-2026-00031,upi,,HDFC,Zomato,Zomato Limited,Payment for order order_2026_000031 via UPI,"{""merchant_gstin"": ""07AAACZ1234D1Z2"", ""pos"": ""ONLINE""}"
