transaction_id,merchant_id,settlement_date,gross_amount,fee,tax,net_amount,currency,payment_method,status,narration,source,utr_number,payment_id,order_id,invoice_number
BANK-BARB41866594980,MRCH004,2026-08-03,38386.21,0,0,38386.21,INR,BANK_TRANSFER,settled,CR BARB41866594980 RAZORPAY SETTLEMENT 030826 INR38386.21,bank_statement,BARB41866594980,,,
BANK-UTIB24516677245,MRCH007,2026-07-31,17770.04,0,0,17770.04,INR,BANK_TRANSFER,settled,CR UTIB24516677245 RAZORPAY SETTLEMENT 310726 INR17770.04,bank_statement,UTIB24516677245,,,
BANK-ICIC57943234281,MRCH002,2026-08-10,6481.62,0,0,6481.62,INR,BANK_TRANSFER,settled,CR ICIC57943234281 RAZORPAY SETTLEMENT 100826 INR6481.62,bank_statement,ICIC57943234281,,,
BANK-ICIC42456852025,MRCH010,2026-08-21,34070.30,0,0,34070.30,INR,BANK_TRANSFER,settled,CR ICIC42456852025 RAZORPAY SETTLEMENT 210826 INR34070.30,bank_statement,ICIC42456852025,,,
BANK-HDFC76612908200,MRCH010,2026-08-17,36985.18,0,0,36985.18,INR,BANK_TRANSFER,settled,CR HDFC76612908200 RAZORPAY SETTLEMENT 170826 INR36985.18,bank_statement,HDFC76612908200,,,
BANK-BARB14047709743,MRCH007,2026-08-06,4172.94,0,0,4172.94,INR,BANK_TRANSFER,settled,CR BARB14047709743 RAZORPAY SETTLEMENT 060826 INR4172.94,bank_statement,BARB14047709743,,,
BANK-KKBK79486780724,MRCH002,2026-08-24,27984.90,0,0,27984.90,INR,BANK_TRANSFER,settled,CR KKBK79486780724 RAZORPAY SETTLEMENT 240826 INR27984.90,bank_statement,KKBK79486780724,,,
BANK-UTIB52119777069,MRCH003,2026-08-07,10435.46,0,0,10435.46,INR,BANK_TRANSFER,settled,CR UTIB52119777069 RAZORPAY SETTLEMENT 070826 INR10435.46,bank_statement,UTIB52119777069,,,
BANK-BARB45068953259,MRCH008,2026-08-21,48473.25,0,0,48473.25,INR,BANK_TRANSFER,settled,CR BARB45068953259 RAZORPAY SETTLEMENT 210826 INR48473.25,bank_statement,BARB45068953259,,,
BANK-UTIB56641778881,MRCH010,2026-08-18,557.61,0,0,557.61,INR,BANK_TRANSFER,settled,CR UTIB56641778881 RAZORPAY SETTLEMENT 180826 INR557.61,bank_statement,UTIB56641778881,,,
BANK-SBIN23702706271,MRCH004,2026-08-18,8585.61,0,0,8585.61,INR,BANK_TRANSFER,settled,CR SBIN23702706271 RAZORPAY SETTLEMENT 180826 INR8585.61,bank_statement,SBIN23702706271,,,
BANK-HDFC36592676864,MRCH001,2026-07-30,3928.34,0,0,3928.34,INR,BANK_TRANSFER,settled,CR HDFC36592676864 RAZORPAY SETTLEMENT 300726 INR3928.34,bank_statement,HDFC36592676864,,,
BANK-BARB13590711152,MRCH004,2026-08-23,28453.96,0,0,28453.96,INR,BANK_TRANSFER,settled,CR BARB13590711152 RAZORPAY SETTLEMENT 230826 INR28453.96,bank_statement,BARB13590711152,,,
BANK-ICIC73501647053,MRCH004,2026-08-25,3858.48,0,0,3858.48,INR,BANK_TRANSFER,settled,CR ICIC73501647053 RAZORPAY SETTLEMENT 250826 INR3858.48,bank_statement,ICIC73501647053,,,
BANK-UTIB56162203547,MRCH003,2026-08-06,19084.00,0,0,19084.00,INR,BANK_TRANSFER,settled,CR UTIB56162203547 RAZORPAY SETTLEMENT 060826 INR19084.00,bank_statement,UTIB56162203547,,,
BANK-HDFC24619104687,MRCH001,2026-08-05,5223.97,0,0,5223.97,INR,BANK_TRANSFER,settled,CR HDFC24619104687 RAZORPAY SETTLEMENT 050826 INR5223.97,bank_statement,HDFC24619104687,,,
BANK-ICIC22373217409,MRCH010,2026-08-08,6455.86,0,0,6455.86,INR,BANK_TRANSFER,settled,CR ICIC22373217409 RAZORPAY SETTLEMENT 080826 INR6455.86,bank_statement,ICIC22373217409,,,
BANK-HDFC24020774383,MRCH010,2026-08-03,591.15,0,0,591.15,INR,BANK_TRANSFER,settled,CR HDFC24020774383 RAZORPAY SETTLEMENT 030826 INR591.15,bank_statement,HDFC24020774383,,,
BANK-UTIB96295764809,MRCH006,2026-08-09,43557.30,0,0,43557.30,INR,BANK_TRANSFER,settled,CR UTIB96295764809 RAZORPAY SETTLEMENT 090826 INR43557.30,bank_statement,UTIB96295764809,,,
BANK-UTIB83654627323,MRCH005,2026-08-08,47643.64,0,0,47643.64,INR,BANK_TRANSFER,settled,CR UTIB83654627323 RAZORPAY SETTLEMENT 080826 INR47643.64,bank_statement,UTIB83654627323,,,
BANK-KKBK57686135491,MRCH003,2026-07-27,19823.32,0,0,19823.32,INR,BANK_TRANSFER,settled,CR KKBK57686135491 RAZORPAY SETTLEMENT 270726 INR19823.32,bank_statement,KKBK57686135491,,,
BANK-KKBK43546912874,MRCH007,2026-08-01,11435.27,0,0,11435.27,INR,BANK_TRANSFER,settled,CR KKBK43546912874 RAZORPAY SETTLEMENT 010826 INR11435.27,bank_statement,KKBK43546912874,,,
BANK-HDFC10957449367,MRCH001,2026-08-14,14365.51,0,0,14365.51,INR,BANK_TRANSFER,settled,CR HDFC10957449367 RAZORPAY SETTLEMENT 140826 INR14365.51,bank_statement,HDFC10957449367,,,
BANK-BARB23003445296,MRCH005,2026-08-04,41245.58,0,0,41245.58,INR,BANK_TRANSFER,settled,CR BARB23003445296 RAZORPAY SETTLEMENT 040826 INR41245.58,bank_statement,BARB23003445296,,,
