transaction_id,merchant_id,settlement_date,gross_amount,fee,tax,net_amount,currency,payment_method,status,narration,source,utr_number,payment_id,order_id,invoice_number
TXN-0000-e496e2,MRCH002,2026-08-16,48698.35,1217.46,219.14,47261.75,INR,UPI,settled,STTLMNT/MRCH002/PY-pay_964bba48396f47/160826 NET AMT 47261.75,razorpay_gateway,UTIB86846326096,pay_964bba48396f47,order_180929449cc1,INV-7912-132
TXN-0001-7ec01f,MRCH004,2026-08-01,39553.03,988.83,177.99,38386.21,INR,BANK_TRANSFER,settled,STTLMNT/MRCH004/PY-pay_691217d6824d4b/010826 NET AMT 38386.21,razorpay_gateway,BARB41866594980,pay_691217d6824d4b,order_155ded8b2541,SI-5557-928
TXN-0002-cba423,MRCH007,2026-07-30,18310.19,457.75,82.40,17770.04,INR,NETBANKING,settled,PYMNT SETTLEMENT BATCH #926 MRCH007 17770.04,razorpay_gateway,UTIB24516677245,pay_31604baf2fdd4e,order_cba999c1ee24,REC-6635-718
TXN-0003-1c0df6,MRCH008,2026-08-06,8280.48,165.61,29.81,8085.06,INR,BANK_TRANSFER,settled,stlmnt MRCH008/pay_35b078132c0a43 amt=8280.48 fee=165.61 tax=29.81 net=8085.06,razorpay_gateway,KKBK60945643201,pay_35b078132c0a43,order_2c46a96aa7d8,BILL-2139-146
TXN-0004-74b388,MRCH002,2026-08-09,6719.48,201.58,36.28,6481.62,INR,CARD,settled,pymnt settlement batch #818 mrch002 6481.62,razorpay_gateway,ICIC57943234281,pay_d748fc87140343,order_518cceaea2e8,REC-4432-786
TXN-0005-8d5165,MRCH010,2026-08-18,35105.93,877.65,157.98,34070.30,INR,CARD,settled,STTLMNT/MRCH010/PY-pay_1309df6dc9e044/180826 NET AMT 34070.30,razorpay_gateway,ICIC42456852025,pay_1309df6dc9e044,order_b44e0c1d0baf,REC-1916-334
TXN-0006-d7f87a,MRCH007,2026-08-17,4437.27,133.12,23.96,4280.19,INR,NETBANKING,settled,NEFT/RTGS Cr - SBIN72890569906 - QuickBite Restaurants - 170826,razorpay_gateway,SBIN72890569906,pay_8377f92e572346,order_1d5461fa1120,BILL-5339-242
TXN-0007-0156bb,MRCH010,2026-08-16,38342.51,1150.28,207.05,36985.18,INR,WALLET,partially_refunded,Settlement - FashionHub Trends - Ref#pay_e69953bdfcf642 dt 16/08/2026,razorpay_gateway,HDFC76612908200,pay_e69953bdfcf642,order_c738f9c39ae0,INV-1771-981
TXN-0008-a34200,MRCH007,2026-08-04,4263.49,76.74,13.81,4172.94,INR,BANK_TRANSFER,partially_refunded,Pymnt settlement batch #887 MRCH007 4172.94,razorpay_gateway,BARB14047709743,pay_454c4f545b4448,order_c3af44fb7c3b,INV-9797-868
TXN-0009-f7be11,MRCH002,2026-08-23,28592.2,514.66,92.64,27984.90,INR,NETBANKING,refunded,stlmnt MRCH002/pay_dd30b06f9eab41 amt=28592.2 fee=514.66 tax=92.64 net=27984.90,razorpay_gateway,KKBK79486780724,pay_dd30b06f9eab41,order_da2bb143d660,INV-5889-961
