transaction_id,merchant_id,settlement_date,gross_amount,fee,tax,net_amount,currency,payment_method,status,narration,source,utr_number,payment_id,order_id,invoice_number,merchant_name
ERP-INV-7912-132,MRCH002,2026-08-16,48698.35,1217.46,219.14,47261.75,INR,UPI,settled,Received payment from FreshMart Groceries Invoice #INV-7912-132,erp_ledger,,,order_180929449cc1,INV-7912-132,FreshMart Groceries
ERP-SI-5557-928,MRCH004,2026-08-01,39553.03,988.83,177.99,38386.21,INR,BANK_TRANSFER,settled,Received payment from Metro Cab Services Invoice #SI-5557-928,erp_ledger,,,order_155ded8b2541,SI-5557-928,Metro Cab Services
ERP-REC-6635-718,MRCH007,2026-07-30,18310.19,457.75,82.40,17770.04,INR,NETBANKING,settled,Received payment from QuickBite Restaurants Invoice #REC-6635-718,erp_ledger,,,order_cba999c1ee24,REC-6635-718,QuickBite Restaurants
ERP-BILL-2139-146,MRCH008,2026-08-06,8280.48,165.61,29.81,8085.06,INR,BANK_TRANSFER,settled,Received payment from EduLearn Academy Invoice #BILL-2139-146,erp_ledger,,,order_2c46a96aa7d8,BILL-2139-146,EduLearn Academy
ERP-REC-4432-786,MRCH002,2026-08-09,6719.48,201.58,36.28,6481.62,INR,CARD,settled,Received payment from FreshMart Groceries Invoice #REC-4432-786,erp_ledger,,,order_518cceaea2e8,REC-4432-786,FreshMart Groceries
ERP-REC-1916-334,MRCH010,2026-08-18,35105.93,877.65,157.98,34070.30,INR,CARD,settled,Received payment from FashionHub Trends Invoice #REC-1916-334,erp_ledger,,,order_b44e0c1d0baf,REC-1916-334,FashionHub Trends
ERP-INV-9797-868,MRCH007,2026-08-04,4263.49,76.74,13.81,4172.94,INR,BANK_TRANSFER,partially_refunded,Received payment from QuickBite Restaurants Invoice #INV-9797-868,erp_ledger,,,order_c3af44fb7c3b,INV-9797-868,QuickBite Restaurants
ERP-INV-5889-961,MRCH002,2026-08-23,28592.2,514.66,92.64,27984.90,INR,NETBANKING,refunded,Received payment from FreshMart Groceries Invoice #INV-5889-961,erp_ledger,,,order_da2bb143d660,INV-5889-961,FreshMart Groceries
ERP-BILL-1949-346,MRCH003,2026-08-04,10687.69,213.75,38.48,10435.46,INR,NETBANKING,settled,Received payment from CloudSoft Solutions Invoice #BILL-1949-346,erp_ledger,,,order_f5b0df9f4eab,BILL-1949-346,CloudSoft Solutions
ERP-SI-4470-652,MRCH008,2026-08-19,49946.68,1248.67,224.76,48473.25,INR,UPI,settled,Received payment from EduLearn Academy Invoice #SI-4470-652,erp_ledger,,,order_668989373b46,SI-4470-652,EduLearn Academy
ERP-INV-9423-343,MRCH010,2026-08-16,571.09,11.42,2.06,557.61,INR,CARD,settled,Received payment from FashionHub Trends Invoice #INV-9423-343,erp_ledger,,,order_7f3362263a2d,INV-9423-343,FashionHub Trends
ERP-INV-8062-462,MRCH004,2026-08-16,8771.92,157.89,28.42,8585.61,INR,BANK_TRANSFER,settled,Received payment from Metro Cab Services Invoice #INV-8062-462,erp_ledger,,,order_e904ed9cc3fb,INV-8062-462,Metro Cab Services
ERP-SI-3296-532,MRCH001,2026-07-29,4072.51,122.18,21.99,3928.34,INR,UPI,pending,Received payment from TechStore India Pvt Ltd Invoice #SI-3296-532,erp_ledger,,,order_59d6ccf711d2,SI-3296-532,TechStore India Pvt Ltd
ERP-REC-7930-813,MRCH004,2026-08-23,3942.21,70.96,12.77,3858.48,INR,WALLET,partially_refunded,Received payment from Metro Cab Services Invoice #REC-7930-813,erp_ledger,,,order_5e37fbf36493,REC-7930-813,Metro Cab Services
ERP-INV-1821-698,MRCH003,2026-08-05,19545.27,390.91,70.36,19084.00,INR,CARD,settled,Received payment from CloudSoft Solutions Invoice #INV-1821-698,erp_ledger,,,order_01e5958cf2b8,INV-1821-698,CloudSoft Solutions
ERP-REC-8491-423,MRCH005,2026-08-16,43991.91,1319.76,237.56,42434.59,INR,CARD,settled,Received payment from BookWorm Online Invoice #REC-8491-423,erp_ledger,,,order_7e753c9f8304,REC-8491-423,BookWorm Online
ERP-BILL-7054-391,MRCH010,2026-08-07,6652.09,166.30,29.93,6455.86,INR,BANK_TRANSFER,settled,Received payment from FashionHub Trends Invoice #BILL-7054-391,erp_ledger,,,order_299810f1e347,BILL-7054-391,FashionHub Trends
ERP-INV-3546-378,MRCH010,2026-08-02,612.85,18.39,3.31,591.15,INR,BANK_TRANSFER,settled,Received payment from FashionHub Trends Invoice #INV-3546-378,erp_ledger,,,order_1ecadd0147b0,INV-3546-378,FashionHub Trends
ERP-SI-5533-145,MRCH006,2026-08-07,45155.81,1354.67,243.84,43557.30,INR,CARD,settled,Received payment from HealthFirst Pharma Invoice #SI-5533-145,erp_ledger,,,order_d5e81cea4d71,SI-5533-145,HealthFirst Pharma
ERP-INV-7049-696,MRCH005,2026-08-06,48677.56,876.20,157.72,47643.64,INR,CARD,settled,Received payment from BookWorm Online Invoice #INV-7049-696,erp_ledger,,,order_5672d43c65ef,INV-7049-696,BookWorm Online
ERP-BILL-7528-436,MRCH001,2026-08-12,14677.25,264.19,47.55,14365.51,INR,WALLET,settled,Received payment from TechStore India Pvt Ltd Invoice #BILL-7528-436,erp_ledger,,,order_0692d7a117fd,BILL-7528-436,TechStore India Pvt Ltd
ERP-REC-3925-694,MRCH005,2026-08-02,42140.65,758.53,136.54,41245.58,INR,NETBANKING,partially_refunded,Received payment from BookWorm Online Invoice #REC-3925-694,erp_ledger,,,order_256803935714,REC-3925-694,BookWorm Online
ERP-BILL-5173-145,MRCH010,2026-08-10,22754.93,682.65,122.88,21949.40,INR,WALLET,settled,Received payment from FashionHub Trends Invoice #BILL-5173-145,erp_ledger,,,order_8748b8633217,BILL-5173-145,FashionHub Trends
